com_nam,lin_ima,rep_typ,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb
 ADDIVINOLA COMMITTEE; THE,http://images.nictusa.com/cgi-bin/fecimg/?C00523332,Q1,S,P,Q,6 LIBERTY SQUARE #11,BOSTON,MA,2109,ANGELICA ADDIVINOLA,C00523332,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,331.00","$103,331.00","$58,047.00",,2015-01-01,2015-03-31,,H2MA05120,,,,,,,,,,,,,,,,,,,,,
 ADDIVINOLA COMMITTEE; THE,http://images.nictusa.com/cgi-bin/fecimg/?C00523332,Q2,S,P,Q,6 LIBERTY SQUARE #11,BOSTON,MA,2109,ANGELICA ADDIVINOLA,C00523332,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,331.00","$103,331.00","$58,047.00",,2015-04-01,2015-06-30,,H2MA05120,,,,,,,,,,,,,,,,,,,,,
A LOT OF PEOPLE FOR DAVE OBEY,http://images.nictusa.com/cgi-bin/fecimg/?C00017830,Q1,H,P,T,3242 CUMMINS WAY,MISSOULA,MT,59802,VIRGINIA GARNER-GERHARDT,C00017830,2016,,,,,,,,,,,,,,,,,,,,,,,,"$59,597.91",,,,,,,,,,,,,,,,,,,,,,,"$59,597.91",,"$59,597.91","$72,210.20","$12,612.29",,,2015-01-01,2015-03-31,,H6WI07033,,,,,,,,,,,,,,,,,,,,,
A LOT OF PEOPLE FOR DAVE OBEY,http://images.nictusa.com/cgi-bin/fecimg/?C00017830,Q2,H,P,T,3242 CUMMINS WAY,MISSOULA,MT,59802,VIRGINIA GARNER-GERHARDT,C00017830,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,612.29","$12,612.29",,,2015-04-01,2015-06-30,,H6WI07033,,,,,,,,,,,,,,,,,,,,,
A LOT OF PEOPLE FOR DAVE OBEY,http://images.nictusa.com/cgi-bin/fecimg/?C00017830,TER,H,P,T,3242 CUMMINS WAY,MISSOULA,MT,59802,VIRGINIA GARNER-GERHARDT,C00017830,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,612.29","$12,612.29",,,2015-07-01,2015-08-04,,H6WI07033,,,,,,,,,,,,,,,,,,,,,
A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL COMMITTEE,http://images.nictusa.com/cgi-bin/fecimg/?C00374058,Q1,H,P,Q,PO BOX 1242,TUCSON,AZ,85702,"CASTILLO, MAYA",C00374058,2016,"$18,825.00","$13,494.19","$32,319.19",,,"$9,500.00",,,"$41,819.19",,,,,,,,,,,,,"$41,819.19",,"$37,474.38",,,,,,,,,,,,,,,,,,,,,"$5,200.00",,"$42,674.38","$41,819.19","$37,474.38","$36,088.02","$35,232.83","$18,748.56",,2015-01-01,2015-03-31,,H2AZ07070,,,,,,,,,,,,,,,,,,,,,
A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL COMMITTEE,http://images.nictusa.com/cgi-bin/fecimg/?C00374058,Q2,H,P,Q,PO BOX 1242,TUCSON,AZ,85702,"CASTILLO, MAYA",C00374058,2016,"$15,925.00","$7,553.32","$23,478.32",$178.50,,"$27,518.00","$1,000.00",,"$50,996.32","$1,178.50",,,,,,,,,,,,"$51,372.97",,"$41,326.37",,,,$376.65,,,,,,,,,,,,,,,,,"$4,250.00",,"$46,754.87","$49,817.82","$40,949.72","$35,232.83","$39,850.93","$15,248.56",,2015-04-01,2015-06-30,,H2AZ07070,,,,,,,,,,,,,,,,,,,,,
ABEL MALDONADO FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00493379,Q1,H,P,Q,PO BOX 5325,SANTA MARIA,CA,934565325,"LAWLER, KELLY",C00493379,2016,,,,,,,,,,,,,,,,,,,,,,,,$65.57,,,,,,,,,,,,,,,,,,,,,,,$65.57,,$65.57,"$2,720.25","$2,654.68",,,2015-01-01,2015-03-31,,H2CA23106,,,,,,,,,,,,,,,,,,,,,
ABEL MALDONADO FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00493379,Q2,H,P,Q,PO BOX 5325,SANTA MARIA,CA,934565325,"LAWLER, KELLY",C00493379,2016,,,,,,,,,,,,,,,,,,,,,,,,$66.08,,,,,,,,,,,,,,,,,,,,,,,$66.08,,$66.08,"$2,654.68","$2,588.60",,,2015-04-01,2015-06-30,,H2CA23106,,,,,,,,,,,,,,,,,,,,,
ABELER4SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00546630,Q1,S,P,Q,600 EAST MAIN STREET,ANOKA,MN,55303,BART J WARD,C00546630,2016,,$180.00,$180.00,,,,,,$180.00,,,,,,,,,,,,,$180.00,,$303.00,,,,,,,,,,,,,,,,,,,,,,,$303.00,$180.00,$303.00,"$18,919.00","$18,795.00",$548.00,,2015-01-01,2015-03-31,,S4MN00353,,,,,,,,,,,,,,,,,,,,,
